int ตัวแปรประเภทจำนวนเต็ม
float ตัวแปรประเภททศนิยม
char ตัวแปรประเภทตัวอักษร
long ประเภทจำนวนเต็มยาว
short ประเภทจำนวนเต็มสั้น
double ประเภททศนิยมสองเท่า
signed ประเภทจำนวนเต็มแบบมี
unsigned ประเภทจำนวนเต็มแบบไม่มี
struct โครงสร้าง
void ประเภทว่าง
#include นำเข้าไลบรารี
#define นิยาม
return คืนค่า
main() ฟังก์ชั่นสำหรับการทำงานหลัก
+ บวก
- ลบ
* คูณ
/ หาร
% หารเอาเศษ
== เท่ากับเท่ากับ
!= ไม่เท่ากับ
< น้อยกว่า
<= น้อยกว่าหรือเท่ากับ
> มากกว่า
>= มากกว่าหรือเท่ากับ
&& ตัวดำเนินการและเชิงตรรกะ
|| ตัวดำเนินการหรือเชิงตรรกะ
! ตัวดำเนินการปฏิเสธเชิงตรรกะ
= เท่ากับ
+= เพิ่มและกำหนดค่า
++ เพิ่มค่าทีละหนึ่ง
-= ลดและกำหนดค่า
-- ลดค่าทีละหนึ่ง
*= คูณและกำหนดค่า
/= หารและกำหนดค่า
%= หารเอาเศษและกำหนดค่า
<<= เลื่อนไปทางซ้ายและกำหนดค่า
>>= เลื่อนไปทางขวาและกำหนดค่า
&= เป็นโมฆะ
^= อันเหมือนกัน
|= ตัวดำเนินการแบบกำหนดค่าและดำเนินการพร้อมกัน
& ตัวดำเนินการอ้างอิงที่อยู่หน่วยความจำ
| หรือเท่ากัน
~ นิเสธ
<< เลื่อนบิตไปทางซ้าย
>> เลื่อนบิตไปทางขวา
// ข้อเสนอแนะ
if คำสั่งวนลูป
else ออกจากลูป
switch ข้ามไปยังรอบถัดไปของลูป
case ส่งค่ากลับ
default ขนาดของตัวแปรหรือชนิดข้อมูล
for วนลูปแบบระบุขอบเขต
while วนลูปแบบเงื่อนไข
do คำสั่งวนลูป
break ออกจากลูป
continue ข้ามไปยังรอบถัดไปของลูป
true จริง
false เท็จ
